Mã học phần,Tên học phần,Số tín chỉ,LT,TH,Tự học,Học phần tiên quyết,Học phần học trước,Học phần song hành,Khoa quản lý,Mô tả vắn tắt các nội dung học phần,Khối kiến thức,Loại Học phần
FFS702001,Pháp luật đại cương,2,2,0,4,,,,FBE,"Trang bị những tri thức khái lược về nguồn gốc, bản chất, chức năng, vai trò của Nhà nước và pháp luật; các kiểu lịch sử nhà nước, các kiểu pháp luật; một số thuật ngữ khái niệm chuyên ngành luật: Quy phạm pháp luật, quan hệ pháp luật, vi phạm pháp luật, trách nhiệm pháp lý; pháp chế xã hội chủ nghĩa …những kiến thức về một số ngành luật cơ bản của Việt Nam.",Giáo dục đại cương,A1
FFS703007,Đại số tuyến tính,3,3,0,6,,,,FFS,"Học phần nhằm cung cấp cho sinh viên các kiến thức cơ bản của đại số tuyến tính bao gồm ma trận, định thức, hệ phương trình tuyến tính, không gian vectơ; các kiến thức liên quan đến vấn đề giá trị riêng của ma trận. Người học nắm vững về mặt lý thuyết đồng thời bước đầu biết cách sử dụng một phần mềm tính toán (như Mathematica, Matab, Maple…) cho các vấn đề trên.",Giáo dục đại cương,A1
FFS703013,Vật lý 1,3,"2,5","0,5",6,,,,FFS,"Học phần Vật lý 1 trang bị cho người học các kiến thức vật lý cơ bản liên quan đến chuyển động cơ học của các vật vĩ mô và các hiện tượng về nhiệt của vật chất; Lý thuyết sai số và các kỹ năng vận dụng lý thuyết vào thực hành thí nghiệm. Từ đó giúp người học phát triển khả năng tư duy, phân tích, lập luận, phân loại các hiện tượng vật lý liên quan đến Cơ học, Nhiệt học, và giải thích chúng; Các kỹ năng đo đạc, phân tích số liệu. Thêm nữa, người học được rèn luyện và phát triển các kỹ năng và phẩm chất cá nhân; các kỹ năng làm việc việc nhóm.",Giáo dục đại cương,A1
FFS703014,Vật lý 2,3,"2,5","0,5",6,,FFS703013,,FFS,"Học phần này cung cấp cho sinh viên những nội dung cơ bản của vật lý bao gồm các phần Điện học, Từ học, Quang học lượng tử và phần thí nghiệm liên quan. Các kiến thức và kỹ năng được cung cấp là cơ sở giúp cho sinh viên tiếp cận các học phần Cơ sở ngành, chuyên ngành trình độ đại học các ngành kỹ thuật, công nghệ. Sinh viên được trang bị các kiến thức về vật lý quan trọng về Điện – Từ học, Quang học lượng tử và được thực hành giúp nắm vững các kiến thức đã học. Sau khi học xong học phần sinh viên có khả năng ứng dụng/vận dụng những kiến thức đã học trong nghiên cứu khoa học, hiểu và gắn được những kiến thức đó vào trong kỹ thuật và đời sống xã hội.",Giáo dục đại cương,A1
FFS703008,Giải tích,3,3,0,6,,,,FFS,"Học phần Giải tích cung cấp cho sinh viên một số kiến thức bổ sung về hàm một biến số (khai triển Taylor, chuỗi số), các dạng tích phân của hàm và hàm véc tơ nhiều biến như tích phân bội, tích phân đường, tích phân mặt; bên cạnh đó là cách giải một số lớp phương trình vi phân cấp 1. Người học nắm vững về mặt lý thuyết đồng thời bước đầu biết cách sử dụng một phần mềm tính toán (như Mathematica, Matlab, Maple, hoặc một số thư viện mở tương thích với ngôn ngữ lập trình Python…) cho các vấn đề trên.",Giáo dục đại cương,A1
FFS703002,Triết học Mác - Lê nin,3,3,0,6,,,,FFS,"Trang bị những tri thức khái lược về triết học, lịch sử triết học; sự ra đời và phát triển triết học Mác - Lênin; vật chất và ý thức; những nguyên lý, phạm trù, quy luật của phép biện chứng duy vật; học thuyết hình thái kinh tế - xã hội; vấn đề giai cấp và dân tộc; nhà nước và cách mạng xã hội; ý thức xã hội; quan điểm của triết học Mác - Lênin về con người.",Giáo dục đại cương,A1
FEL703001,Tiếng Anh 1,3,1,2,6,,,,FEL,"Học phần Tiếng Anh 1 trang bị cho người học vốn từ vựng, ngữ pháp và các kỹ năng Tiếng Anh cơ bản để người học có thể hiểu và trao đổi những đoạn thông tin ngắn và đơn giản liên quan đến các chủ đề thường nhật.",Giáo dục đại cương,A1
FEL703002,Tiếng Anh 2,3,1,2,6,,FEL703001,,FEL,"Học phần Tiếng Anh 2 củng cố và nâng cao kiến thức về từ vựng, ngữ pháp và các kỹ năng tiếng Anh để người học có thể trao đổi thông tin, giao tiếp về một số vấn đề quen thuộc liên quan đến sở thích, học tập và việc làm, v.v…",Giáo dục đại cương,A1
FFS703010,Lý thuyết xác suất thống kê,3,3,0,6,,,,FFS,"Học phần cung cấp kiến thức cở bản về lý thuyết xác suất và thống kê; từ đó vận dụng các kiến thức đó để phát hiện và giải quyết các vấn đề liên quan trong chuyên ngành và trong thực tế. Các nội dung chính trong học phần: lý thuyết cơ bản về xác suất, phân bố xác suất của biến ngẫu nhiên; cơ sở lý thuyết mẫu, các bài toán ước lượng và kiểm định giả thiết thống kê, tương quan và hồi quy đơn.",Giáo dục đại cương,A1
FFS702003,Kinh tế chính trị Mác - Lênin,2,2,0,4,,FFS703002,,FFS,"Những nội dung cơ bản về lý luận kinh tế chính trị: Nguồn gốc, quá trình hình thành kinh tế chính trị Mác - Lênin; Lý luận về hàng hóa - tiền tệ và giá trị thặng dư; về chủ nghĩa tư bản hiện đại. Các nội dung của kinh tế chính trị thời kỳ quá độ ở Việt Nam: Thời kỳ quá độ và các nội dung nhiệm vụ kinh tế -chính trị, sự vận dụng của Đảng và Nhà nước ta đối với các nhiệm vụ, nội dung của thời kỳ quá độ.",Giáo dục đại cương,A1
FEL702003,Tiếng Anh 3,2,1,1,4,,FEL703002,,FEL,"Học phần Tiếng Anh 3 giúp người học nâng cao kiến thức về từ vựng, ngữ pháp và các kỹ năng tiếng Anh để người học có thể trao đổi thông tin, giao tiếp tương đối tự tin về các vấn đề quen thuộc liên quan đến sở thích, học tập và việc làm, v.v…",Giáo dục đại cương,A1
FFS702004,Chủ nghĩa xã hội khoa học,2,2,0,4,,FFS702003,,FFS,"Những nội dung cơ bản của chủ nghĩa xã hội khoa học đã cung cấp cho sinh viên những căn cứ lý luận khoa học để hiểu Cương lĩnh xây dụng đất nước, đường lối, chích sách xây dựng chủ nghĩa xã hội ở Việt Nam; lý giải và có thái độ đúng đắn với con đường đi lên chủ nghĩa xã hội - con đường mà Đảng và nhân dân ta đã lựa chọn.",Giáo dục đại cương,A1
FFS702005,Lịch sử Đảng cộng sản Việt Nam,2,2,0,4,,FFS702004,,FFS,"Học phần giới thiệu lịch sử Đảng Cộng sản Việt Nam. Sự ra đời của Đảng cùng với Đường lối lãnh đạo tài tình của Đảng trong công cuộc chiến đấu bảo vệ đất nước, phát triển đất nước cung với quá trình xây dựng hệ thống chính trị… Các chính sách đối nội, đối ngoại.",Giáo dục đại cương,A1
FFS702006,Tư tưởng Hồ Chí Minh,2,2,0,4,,,,FFS,"Học phần trình bày về cơ sở, quá trình hình thành và phát triển tư tưởng Hồ Chí Minh. Những nội dung cơ bản của tư tưởng Hồ Chí Minh.",Giáo dục đại cương,A1
CSE702000,Tự chọn tự do 2 (chọn 1 học phần 2 tín chỉ),2,1,1,4,,,,CSE,Sinh viên tự do lựa chọn các học phần (2 tín chỉ) trong danh sách các học phần thuộc các chương trình đào tạo nhóm ngành Công nghệ thông tin và ngành Khoa học máy tính để tích lũy.,Giáo dục đại cương,A2
CSE704000,Tự chọn tự do 4 (chọn 2 học phần 2 tín chỉ),4,2,2,8,,,,CSE,Sinh viên tự do lựa chọn các học phần (2 tín chỉ) trong danh sách các học phần thuộc các chương trình đào tạo nhóm ngành Công nghệ thông tin và ngành Khoa học máy tính để tích lũy.,Giáo dục đại cương,A2
CSE702040,Nhập môn Công nghệ thông tin,2,1,1,4,,,,CSE,"Học phần cung cấp các kiến thức cơ sở của ngành công nghệ thông tin, các thành phần cơ bản của hệ thống thông tin; trải nghiệm nghề nghiệp công nghệ thông tin qua việc tham quan, trao đổi với các doanh nghiệp công nghệ;  Trang bị cho sinh viên các kỹ năng thực hành cơ bản nhất của kỹ sư công nghệ thông tin chuyên nghiệp qua việc sử dụng thành thạo hệ điều hành nguồn mở Linux và tư duy giải quyết các bài toán dựa trên ngôn ngữ lập trình Python.",Cơ sở ngành,B2
CSE703038,Ngôn ngữ lập trình C,3,2,1,6,,CSE702040,,CSE,"Học phần này trang bị cho người học những kiến thức cơ bản về ngôn ngữ lập trình C, cách biểu diễn dữ liệu trên máy tính với ngôn ngữ C, hệ thống số với các phép toán nhị phân, bát phân, thập lục phân, các bước thực hiện viết chương trình máy tính với ngôn ngữ C. Ngoài ra môn học này còn định hướng phương pháp tư duy, phong cách lập trình, cách giải quyết bài toán tin học bằng lưu đồ khối, lập trình các bài toán tin học đơn giản bằng ngôn ngữ lập trình C.",Cơ sở ngành,B2
